City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,walvis bay,-22.9575,14.5053,15.61,84,78,1.16,NA,Sun Nov 26 20:57:50 2023
1,olonkinbyen,70.9221,-8.7187,1.46,85,100,8.31,SJ,Sun Nov 26 20:57:50 2023
2,bethel,41.3712,-73.414,10.67,87,100,6.69,US,Sun Nov 26 20:55:33 2023
3,saint-francois,46.4154,3.9054,0.92,94,100,0.51,FR,Sun Nov 26 20:57:50 2023
4,grytviken,-54.2811,-36.5092,1.97,94,45,4.59,GS,Sun Nov 26 20:57:51 2023
5,port elizabeth,-33.918,25.5701,19.62,88,0,6.17,ZA,Sun Nov 26 20:55:46 2023
6,sandnessjoen,66.0217,12.6316,-20.71,71,3,5.35,NO,Sun Nov 26 20:53:03 2023
7,tokar,18.4254,37.729,26.93,75,35,4.12,SD,Sun Nov 26 20:57:51 2023
8,laojunmiao,39.8333,97.7333,4.33,25,28,2.57,CN,Sun Nov 26 20:57:51 2023
9,albany,42.6001,-73.9662,5.85,93,100,2.54,US,Sun Nov 26 20:57:16 2023
10,dudinka,69.4058,86.1778,-27.22,100,60,2.75,RU,Sun Nov 26 20:57:52 2023
11,klyuchi,52.2667,79.1667,0.6,69,100,4.09,RU,Sun Nov 26 20:57:52 2023
12,waitangi,-43.9535,-176.5597,12.24,94,93,10.69,NZ,Sun Nov 26 20:57:52 2023
13,puerto natales,-51.7236,-72.4875,2.68,92,14,2.03,CL,Sun Nov 26 20:57:52 2023
14,tolanaro,-25.0319,46.9987,24.04,94,20,1.03,MG,Sun Nov 26 20:57:53 2023
15,colonia,50.9333,6.95,5.54,80,100,3.09,DE,Sun Nov 26 20:57:53 2023
16,puerto baquerizo moreno,-0.9,-89.6,24.56,76,58,3.9,EC,Sun Nov 26 20:57:53 2023
17,ulladulla,-35.35,150.4667,25.98,71,61,4.33,AU,Sun Nov 26 20:57:53 2023
18,invercargill,-46.4,168.35,15.57,73,100,2.24,NZ,Sun Nov 26 20:50:43 2023
19,punta del este,-34.9667,-54.95,19.06,89,0,3.6,UY,Sun Nov 26 20:57:54 2023
20,afaahiti,-17.75,-149.2833,26.93,82,98,10.28,PF,Sun Nov 26 20:57:54 2023
21,jamestown,42.097,-79.2353,4.77,97,100,3.6,US,Sun Nov 26 20:57:47 2023
22,thunder bay,48.4001,-89.3168,-7.01,62,75,8.23,CA,Sun Nov 26 20:57:54 2023
23,mitu,1.1983,-70.1733,24.67,81,100,0.77,CO,Sun Nov 26 20:57:55 2023
24,da nang,16.0678,108.2208,26.99,61,20,5.14,VN,Sun Nov 26 20:57:55 2023
25,bredasdorp,-34.5322,20.0403,15.77,75,25,0.78,ZA,Sun Nov 26 20:57:55 2023
26,punta cana,18.5818,-68.4043,26.87,83,40,3.09,DO,Sun Nov 26 20:57:21 2023
27,port alfred,-33.5906,26.891,20.99,82,0,4.06,ZA,Sun Nov 26 20:57:55 2023
28,port-aux-francais,-49.35,70.2167,3.58,86,100,6.7,TF,Sun Nov 26 20:57:56 2023
29,iqaluit,63.7506,-68.5145,-9.15,73,75,1.03,CA,Sun Nov 26 20:57:56 2023
30,isafjordur,66.0755,-23.124,4.19,89,90,4.69,IS,Sun Nov 26 20:57:56 2023
31,sitka,57.0531,-135.33,9.94,76,100,8.75,US,Sun Nov 26 20:57:56 2023
32,adamstown,-25.066,-130.1015,22.07,86,100,8.67,PN,Sun Nov 26 20:57:56 2023
33,yuma,32.7253,-114.6244,17.09,27,0,4.63,US,Sun Nov 26 20:57:57 2023
34,luanda,-8.8368,13.2343,26.0,89,75,1.03,AO,Sun Nov 26 20:57:57 2023
35,thompson,55.7435,-97.8558,-17.91,78,100,2.57,CA,Sun Nov 26 20:57:57 2023
36,queenstown,-31.8976,26.8753,19.07,88,0,0.67,ZA,Sun Nov 26 20:57:58 2023
37,mhamid,29.82,-5.72,11.74,26,1,0.73,MA,Sun Nov 26 20:57:58 2023
38,margaret river,-33.95,115.0667,22.31,66,100,5.86,AU,Sun Nov 26 20:57:58 2023
39,mbaiki,3.8678,17.9892,21.05,93,77,0.79,CF,Sun Nov 26 20:57:58 2023
40,kailua-kona,19.6406,-155.9956,25.98,92,100,2.06,US,Sun Nov 26 20:53:57 2023
41,bilibino,68.0546,166.4372,-12.66,94,12,2.44,RU,Sun Nov 26 20:57:59 2023
42,slobozhans'ke,49.597,36.5262,1.77,97,100,9.6,UA,Sun Nov 26 20:57:59 2023
43,udachny,66.4167,112.4,-20.2,98,100,3.63,RU,Sun Nov 26 20:57:59 2023
44,ust-nera,64.5667,143.2,-22.96,94,98,3.47,RU,Sun Nov 26 20:57:59 2023
45,ciudad de huajuapan de leon,17.8,-97.7667,19.67,71,95,1.81,MX,Sun Nov 26 20:57:59 2023
46,yellowknife,62.456,-114.3525,-14.71,92,100,1.54,CA,Sun Nov 26 20:58:00 2023
47,blackmans bay,-43.0167,147.3167,14.85,68,9,0.45,AU,Sun Nov 26 20:58:00 2023
48,broken hill,-31.95,141.4333,18.99,74,92,14.58,AU,Sun Nov 26 20:55:10 2023
49,ribas do rio pardo,-20.4431,-53.7592,21.74,93,100,2.29,BR,Sun Nov 26 20:58:00 2023
50,ancud,-41.8697,-73.8203,9.95,87,100,1.83,CL,Sun Nov 26 20:58:01 2023
51,kodinsk,58.6881,99.1844,-18.9,85,12,0.75,RU,Sun Nov 26 20:58:01 2023
52,coquimbo,-29.9533,-71.3436,14.85,88,100,1.54,CL,Sun Nov 26 20:58:01 2023
53,nova sintra,14.8667,-24.7167,22.62,61,85,4.47,CV,Sun Nov 26 20:58:01 2023
54,kodiak,57.79,-152.4072,5.73,81,75,7.72,US,Sun Nov 26 20:58:01 2023
55,vatutine,49.015,31.0621,-4.61,85,100,11.45,UA,Sun Nov 26 20:58:02 2023
56,amga,60.8953,131.9608,-24.56,92,100,2.03,RU,Sun Nov 26 20:58:02 2023
57,ulysses,37.5814,-101.3552,-2.98,93,0,2.06,US,Sun Nov 26 20:58:02 2023
58,inhambane,-23.865,35.3833,23.99,88,40,0.0,MZ,Sun Nov 26 20:58:03 2023
59,ribeira grande,38.5167,-28.7,18.21,95,100,4.47,PT,Sun Nov 26 20:58:03 2023
60,richards bay,-28.783,32.0377,23.43,85,39,1.49,ZA,Sun Nov 26 20:58:03 2023
61,kerikeri,-35.2268,173.9474,21.06,61,67,0.89,NZ,Sun Nov 26 20:58:04 2023
62,yangiobod,41.1192,70.0941,12.46,29,99,2.5,UZ,Sun Nov 26 20:58:04 2023
63,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,63,40,7.15,RU,Sun Nov 26 20:58:04 2023
64,vernon,50.2581,-119.2691,3.34,83,96,0.51,CA,Sun Nov 26 20:58:05 2023
65,hawaiian paradise park,19.5933,-154.9731,23.73,87,100,2.57,US,Sun Nov 26 20:58:05 2023
66,shar,49.5886,81.0453,-1.17,70,100,1.15,KZ,Sun Nov 26 20:58:06 2023
67,sake,-1.5736,29.045,16.61,94,100,0.48,CD,Sun Nov 26 20:58:06 2023
68,salahonda,2.1019,-78.7217,26.16,86,71,1.62,CO,Sun Nov 26 20:58:06 2023
69,uturoa,-16.7333,-151.4333,26.33,81,15,8.99,PF,Sun Nov 26 20:58:06 2023
70,road town,18.4167,-64.6167,25.05,68,45,6.6,VG,Sun Nov 26 20:58:07 2023
71,lebu,-37.6167,-73.65,12.32,93,76,3.8,CL,Sun Nov 26 20:58:07 2023
72,macapa,0.0389,-51.0664,22.99,88,100,12.86,BR,Sun Nov 26 20:58:07 2023
73,college,64.8569,-147.8028,-7.74,87,100,0.0,US,Sun Nov 26 20:55:25 2023
74,constantia,44.1833,28.65,-1.62,83,86,8.99,RO,Sun Nov 26 20:58:08 2023
75,choyr,46.3611,108.3611,-14.42,73,3,7.69,MN,Sun Nov 26 20:58:08 2023
76,chonchi,-42.6128,-73.8092,10.56,89,100,0.21,CL,Sun Nov 26 20:58:08 2023
77,aldinga beach,-35.2793,138.4604,25.98,45,0,7.41,AU,Sun Nov 26 20:58:09 2023
78,longyearbyen,78.2186,15.6401,2.91,75,40,8.23,SJ,Sun Nov 26 20:58:09 2023
79,happy valley-goose bay,53.3168,-60.3315,-5.83,86,20,3.09,CA,Sun Nov 26 20:58:09 2023
80,island harbour,50.724,-1.2758,10.55,92,100,1.34,GB,Sun Nov 26 20:58:09 2023
81,vorgashor,67.5833,63.95,-21.62,100,67,1.77,RU,Sun Nov 26 20:58:10 2023
82,anadyr,64.75,177.4833,2.28,93,75,15.65,RU,Sun Nov 26 20:58:10 2023
83,tromso,69.6496,18.957,-4.99,86,75,2.06,NO,Sun Nov 26 20:58:10 2023
84,kalmunai,7.4167,81.8167,28.01,78,88,4.21,LK,Sun Nov 26 20:58:11 2023
85,westport,41.1415,-73.3579,11.85,89,100,10.29,US,Sun Nov 26 20:58:11 2023
86,beaufort west,-32.3567,22.583,21.53,55,0,1.25,ZA,Sun Nov 26 20:58:11 2023
87,port mathurin,-19.6833,63.4167,24.93,70,74,7.14,MU,Sun Nov 26 20:58:11 2023
88,la ronge,55.1001,-105.2842,-14.86,78,75,0.51,CA,Sun Nov 26 20:58:12 2023
89,mosjoen,65.836,13.1908,-20.71,84,20,2.06,NO,Sun Nov 26 20:58:12 2023
90,bonthe,7.5264,-12.505,25.15,84,2,1.08,SL,Sun Nov 26 20:58:12 2023
91,west island,-12.1568,96.8225,28.99,58,97,4.63,CC,Sun Nov 26 20:58:13 2023
92,stanley,54.868,-1.6985,3.76,96,75,2.06,GB,Sun Nov 26 20:58:13 2023
93,geraldton,-28.7667,114.6,26.23,53,75,5.66,AU,Sun Nov 26 20:58:13 2023
94,trairi,-3.2778,-39.2689,26.5,72,16,4.84,BR,Sun Nov 26 20:54:13 2023
95,el granada,37.5027,-122.4694,13.68,55,0,1.54,US,Sun Nov 26 20:58:14 2023
96,suva,-18.1416,178.4415,27.71,83,75,3.6,FJ,Sun Nov 26 20:58:14 2023
97,sao tome,0.3365,6.7273,26.24,81,100,2.67,ST,Sun Nov 26 20:58:14 2023
98,lompoc,34.6391,-120.4579,13.08,60,0,2.57,US,Sun Nov 26 20:58:15 2023
99,bontang,0.1333,117.5,28.21,78,98,1.44,ID,Sun Nov 26 20:58:15 2023
100,coyhaique,-45.5752,-72.0662,6.97,76,0,0.51,CL,Sun Nov 26 20:58:15 2023
101,breves,-1.6822,-50.4803,23.35,96,78,1.96,BR,Sun Nov 26 20:58:16 2023
102,howrah,22.5892,88.3103,24.0,73,40,0.0,IN,Sun Nov 26 20:57:47 2023
103,al burayqah,30.4062,19.5739,18.2,58,100,1.88,LY,Sun Nov 26 20:58:16 2023
104,montmagny,48.9734,2.3469,5.02,82,75,5.14,FR,Sun Nov 26 20:56:09 2023
105,vila franca do campo,37.7167,-25.4333,19.23,99,87,6.0,PT,Sun Nov 26 20:58:17 2023
106,tamanrasset,22.785,5.5228,11.95,22,0,4.63,DZ,Sun Nov 26 20:58:17 2023
107,saipan,15.1355,145.701,31.39,66,40,9.77,MP,Sun Nov 26 20:58:17 2023
108,konongo,6.6167,-1.2167,21.93,98,100,0.42,GH,Sun Nov 26 20:58:18 2023
109,papatowai,-46.5619,169.4708,13.47,76,100,4.3,NZ,Sun Nov 26 20:58:18 2023
110,tommot,58.9564,126.2925,-19.48,93,100,4.98,RU,Sun Nov 26 20:58:18 2023
111,wanning,18.8003,110.3967,24.99,63,8,6.17,CN,Sun Nov 26 20:58:19 2023
112,ushuaia,-54.8,-68.3,5.81,70,0,7.72,AR,Sun Nov 26 20:55:02 2023
113,haiku-pauwela,20.9219,-156.3051,25.01,71,20,7.72,US,Sun Nov 26 20:58:20 2023
114,nova vicosa,-17.8919,-39.3719,24.55,76,65,3.98,BR,Sun Nov 26 20:56:08 2023
115,sao luiz gonzaga,-28.4083,-54.9608,21.06,90,100,2.11,BR,Sun Nov 26 20:58:20 2023
116,iskateley,67.6803,53.1512,-22.32,100,50,2.81,RU,Sun Nov 26 20:58:20 2023
117,naze,28.3667,129.4833,20.51,73,74,4.22,JP,Sun Nov 26 20:58:21 2023
118,ola,59.5833,151.2833,-16.36,76,100,5.59,RU,Sun Nov 26 20:58:21 2023
119,ferkessedougou,9.6,-5.2,23.19,88,100,2.53,CI,Sun Nov 26 20:58:21 2023
120,hagere maryam,5.6333,38.2333,12.84,84,52,1.24,ET,Sun Nov 26 20:58:22 2023
121,laguna,38.421,-121.4238,8.99,62,0,0.0,US,Sun Nov 26 20:58:22 2023
122,avarua,-21.2078,-159.775,25.03,73,75,6.69,CK,Sun Nov 26 20:58:22 2023
